time,ASRBalanceCheck,ASRVolume,ProcessBasinVolume,QASRExtracted,QASRInjection,QDistribution,QTreatment,QTreatmentDistributed,QTreatmentInjected,QTreatmentSurplus,Qadd,Qint
2000-01-01 00:00:00,0.158000,0.000000,0.000000,-0.000000,0.158000,1.427000,1.585000,1.427000,0.158000,0.158000,0.000000,0.946729
2000-01-08 00:00:00,0.182166,110173.892940,153361.655939,-0.000000,0.182166,1.427000,1.609166,1.427000,0.182166,0.182166,0.000000,1.862740
2000-01-15 00:00:00,0.180755,219494.606513,303370.300744,-0.000000,0.180755,1.427000,1.607755,1.427000,0.180755,0.180755,0.000000,1.855785
2000-01-22 00:00:00,0.180115,328428.288838,451212.320054,-0.000000,0.180115,1.427000,1.607115,1.427000,0.180115,0.180115,0.000000,1.851563
2000-01-29 00:00:00,0.179713,437118.789779,597458.558310,-0.000000,0.179713,1.427000,1.606713,1.427000,0.179713,0.179713,0.000000,1.848522
2000-02-05 00:00:00,0.179426,545635.866160,742477.319189,-0.000000,0.179426,1.427000,1.606426,1.427000,0.179426,0.179426,0.000000,1.846206
2000-02-12 00:00:00,0.179208,654020.704621,886544.962071,-0.000000,0.179208,1.427000,1.606208,1.427000,0.179208,0.179208,0.000000,1.844415
2000-02-19 00:00:00,0.179034,762300.463116,1029888.883096,-0.000000,0.179034,1.427000,1.606034,1.427000,0.179034,0.179034,0.000000,1.843044
2000-02-26 00:00:00,0.178892,870494.359187,1172708.181334,-0.000000,0.178892,1.427000,1.605892,1.427000,0.178892,0.178892,0.000000,1.842035
2000-03-04 00:00:00,0.029781,888506.181865,1309737.286224,-0.000000,0.029781,1.585000,1.614781,1.585000,0.029781,0.029781,0.000000,1.841351
2000-03-11 00:00:00,0.029624,906422.948277,1446624.429686,-0.000000,0.029624,1.585000,1.614624,1.585000,0.029624,0.029624,0.000000,1.840959
2000-03-18 00:00:00,0.029473,924248.407543,1583536.839704,-0.000000,0.029473,1.585000,1.614473,1.585000,0.029473,0.029473,0.000000,1.840850
