,timeseries_sum,timeseries_min,timeseries_max,timeseries_avg,mean_absolute_percentual_difference,mean_absolute_difference,max_difference
20,270.62048434883764,3.897440390145351e-08,8.717051405349551,5.0114904509044,1019399.3397669167,0.5378764814693388,4.284931180566879
30,286.1091003674901,1.463739574986976e-07,14.999999784568237,5.298316673472039,515608.90239131864,1.0824721372295185,7.000000013279077
40,281.75308188373504,-7.999633724314044e-08,14.99999996076293,5.217649664513613,943439.778094431,1.310473824747853,7.000000102363615
50,274.5501424741369,-6.997638576897813e-08,14.99999985531241,5.084261897669202,1730907.1430978775,1.3262335078154195,7.000000086765503
final_results,274.5501424741369,-6.997638576897813e-08,14.99999985531241,5.084261897669202,1730907.1430978775,1.3262335078154195,7.000000086765503
