,timeseries_sum,timeseries_min,timeseries_max,timeseries_avg,mean_absolute_percentual_difference,mean_absolute_difference,max_difference,perc_below_target,perc_above_target,sum_below_target,sum_above_target
10,69.30553395923472,1.1045423946250028,1.6050192637657892,1.2834358140599025,0.017935963953580707,0.02376401824715102,0.08621974766930074,0.0,0.0,0.0,0.0
20,79.8102330014863,0.7747791557186893,2.095296461505832,1.4779672778053015,0.04284376012452729,0.057342742908048513,0.13205285751338702,0.0,0.0,0.0,0.0
40,80.60502909838219,0.7747791581479767,2.0952964194234815,1.4926857240441147,0.039335796728155424,0.051773615961594716,0.18024569366466037,0.0,0.0,0.0,0.0
50,80.60502895024258,0.7747791557262399,2.0952964120452817,1.4926857213007887,0.03933579673052548,0.05177361578505501,0.18024569364010645,0.0,0.0,0.0,0.0
final_results,80.60502895024258,0.7747791557262399,2.0952964120452817,1.4926857213007887,0.03933579673052548,0.05177361578505501,0.18024569364010645,0.0,0.0,0.0,0.0
