,timeseries_sum,timeseries_min,timeseries_max,timeseries_avg,mean_absolute_percentual_difference,mean_absolute_difference,max_difference,perc_below_target,perc_above_target,sum_below_target,sum_above_target
20,186.441376202232,0.8612317917829989,5.035789273666745,3.4526180778191113,0.06413289605715314,0.15712829624422392,0.22200826007554397,0.37037037037037035,0.07407407407407407,30.10494043882918,0.5636345093384287
30,227.87877752664843,2.6103626005423353,5.113382862701998,4.219977361604602,0.030247729793193755,0.11532990167836865,0.4446965843761821,0.07407407407407407,0.16666666666666666,1.722326479141096,1.8903321564667053
40,230.26578776394481,2.610362585176447,5.113382893152182,4.264181254887866,0.025925166081079358,0.09634053085064054,0.46241446721453583,0.07407407407407407,0.16666666666666666,1.7223265461641413,1.8903323548370254
50,230.26661113336837,2.610362600393793,5.113382870431386,4.264196502469785,0.02592553130228514,0.09634206542271964,0.46242244084228057,0.07407407407407407,0.16666666666666666,1.7223264760203394,1.8903322260441868
final_results,230.26661113336837,2.610362600393793,5.113382870431386,4.264196502469785,0.02592553130228514,0.09634206542271964,0.46242244084228057,0.07407407407407407,0.16666666666666666,1.7223264760203394,1.8903322260441868
