,timeseries_sum,timeseries_min,timeseries_max,timeseries_avg,mean_absolute_percentual_difference,mean_absolute_difference,max_difference,perc_below_target,perc_above_target,sum_below_target,sum_above_target
20,186.441376202232,0.8612317917829989,5.035789273666745,3.4526180778191113,0.06413289605715314,0.15712829624422392,0.22200826007554397,0.5925925925925926,0.4074074074074074,52.566235110638296,6.807611312870333
30,227.87877752664843,2.6103626005423353,5.113382862701998,4.219977361604602,0.030247729793193755,0.11532990167836865,0.4446965843761821,0.5370370370370371,0.46296296296296297,13.430458960491414,9.109236487139938
40,230.26578776394481,2.610362585176447,5.113382893152182,4.264181254887866,0.025925166081079358,0.09634053085064054,0.46241446721453583,0.2037037037037037,0.24074074074074073,9.737015810410835,7.8028035743556075
50,230.26661113336837,2.610362600393793,5.113382870431386,4.264196502469785,0.02592553130228514,0.09634206542271964,0.46242244084228057,0.2037037037037037,0.24074074074074073,9.737023743159721,7.803634876528082
final_results,230.26661113336837,2.610362600393793,5.113382870431386,4.264196502469785,0.02592553130228514,0.09634206542271964,0.46242244084228057,0.2037037037037037,0.24074074074074073,9.737023743159721,7.803634876528082
