,timeseries_sum,timeseries_min,timeseries_max,timeseries_avg,mean_absolute_percentual_difference,mean_absolute_difference,max_difference,perc_below_target,perc_above_target,sum_below_target,sum_above_target
20,230.94168911728846,2.775224127894659,5.251653966571385,4.276697946616452,0.02891105593688837,0.11433917065229326,0.448014402895919,0.5185185185185185,0.48148148148148145,12.04816593402556,10.789855051314042
40,233.60051605522062,2.775224143967373,5.251653964362359,4.325935482504085,0.02463780574717252,0.09533697433478637,0.4658725507459449,0.18518518518518517,0.25925925925925924,8.173262657572458,9.573778712792983
50,233.60051628646926,2.775224154409289,5.25165397410311,4.3259354867864666,0.02463780567740187,0.0953369743083267,0.4658725499596339,0.18518518518518517,0.25925925925925924,8.173262567645008,9.573778854114156
final_results,233.60051628646926,2.775224154409289,5.25165397410311,4.3259354867864666,0.02463780567740187,0.0953369743083267,0.4658725499596339,0.18518518518518517,0.25925925925925924,8.173262567645008,9.573778854114156
