,timeseries_sum,timeseries_min,timeseries_max,timeseries_avg,mean_absolute_percentual_difference,mean_absolute_difference,max_difference,perc_below_target,perc_above_target,sum_below_target,sum_above_target
20,284.89469665706264,-1.508191909889115e-08,14.999999232719926,5.275827715871531,5004117.4950018115,1.079047987338528,6.999999556447662,0.0,0.0,0.0,0.0
40,280.4191130546701,-7.304531516051823e-10,14.999999854943477,5.192946538049447,103321744.33480647,1.3991511457714874,8.421604943021219,0.0,0.0,0.0,2.197834115037259e-08
50,273.21707233560915,-6.997638576897813e-08,14.999999846104664,5.059575413622391,66184349.61883084,1.4149126116001358,8.421605136808838,0.0,0.0,0.0,2.302163619703757e-08
final_results,273.21707233560915,-6.997638576897813e-08,14.999999846104664,5.059575413622391,66184349.61883084,1.4149126116001358,8.421605136808838,0.0,0.0,0.0,2.302163619703757e-08
