time,ASRBalanceCheck,ASRVolume,ProcessBasinVolume,QASRExtracted,QASRInjection,QDistribution,QTreatment,QTreatmentDistributed,QTreatmentInjected,QTreatmentSurplus,Qadd,Qint
2000-01-01 00:00:00,0.158000,0.000000,0.000000,0.927066,1.085066,1.427000,1.585000,0.499934,1.085066,0.158000,0.000000,50.000000
2000-01-08 00:00:00,0.182166,110173.892396,1128400.787552,0.923696,1.105861,1.427000,1.609166,0.503304,1.105861,0.182166,0.000000,3.474908
2000-01-15 00:00:00,0.180755,219494.605434,1364530.529481,0.923890,1.104645,1.427000,1.607755,0.503110,1.104645,0.180755,0.000000,1.998181
2000-01-22 00:00:00,0.180115,328428.287227,1446470.277313,0.923978,1.104094,1.427000,1.607115,0.503022,1.104094,0.180115,0.000000,1.742598
2000-01-29 00:00:00,0.179713,437118.787639,1478278.302013,0.924034,1.103747,1.427000,1.606713,0.502966,1.103747,0.179713,0.000000,1.659306
2000-02-05 00:00:00,0.179426,545635.863493,1491185.174387,0.924073,1.103500,1.427000,1.606426,0.502927,1.103500,0.179426,0.000000,1.627767
2000-02-12 00:00:00,0.179208,654020.701427,1496690.192669,0.924104,1.103311,1.427000,1.606208,0.502896,1.103311,0.179208,0.000000,1.615310
2000-02-19 00:00:00,0.179034,762300.459398,1499501.188950,0.924128,1.103162,1.427000,1.606034,0.502872,1.103162,0.179034,0.000000,1.610682
2000-02-26 00:00:00,0.178892,870494.354944,1501977.724236,0.924147,1.103039,1.427000,1.605892,0.502853,1.103039,0.178892,0.000000,1.609987
2000-03-04 00:00:00,0.029781,888506.177047,1500747.469856,1.051770,1.081552,1.585000,1.614781,0.533230,1.081552,0.029781,0.000000,1.612747
2000-03-11 00:00:00,0.029624,906422.942897,1500244.745095,1.051796,1.081420,1.585000,1.614624,0.533204,1.081420,0.029624,0.000000,1.613793
2000-03-18 00:00:00,0.029473,924248.401589,1500040.599361,1.051820,1.081294,1.585000,1.614473,0.533180,1.081294,0.029473,0.000000,1.614136
2000-03-25 00:00:00,0.029328,941986.042610,1499958.668417,1.051844,1.081172,1.585000,1.614328,0.533156,1.081172,0.029328,0.000000,1.614193
