time,ASRVolume,ProcessBasinVolume,QASRInjection,QASRRecovery,QDistribution,QTreatment,Qadd,Qint
2000-01-01 00:00:00,5000000.025751,3000000.005751,92158.570075,98766.241570,1.427000,1.585000,-0.000000,-0.000000
2000-01-08 00:00:00,4632901.429166,2649081.527759,92158.570075,98766.241570,1.427000,1.585000,0.239802,0.239802
2000-01-15 00:00:00,4280755.320237,2365634.843207,92158.570075,98766.241570,1.427000,1.585000,0.376086,0.376086
2000-01-22 00:00:00,3949121.844936,2140720.569202,92158.570075,98766.241570,1.427000,1.585000,0.506782,0.506782
2000-01-29 00:00:00,3645034.299402,1969355.313525,92158.570075,98766.241570,1.427000,1.585000,0.640868,0.640868
2000-02-05 00:00:00,3380123.140495,1842182.710888,92158.570075,98766.241570,1.427000,1.585000,0.778713,0.778713
2000-02-12 00:00:00,3163951.790436,1749757.828684,92158.570075,98766.241570,1.427000,1.585000,0.916755,0.916755
2000-02-19 00:00:00,3000760.889502,1684867.647250,92158.570075,98766.241570,1.427000,1.585000,1.049882,1.049882
2000-02-26 00:00:00,2890306.533528,1642690.999743,92158.570075,98766.241570,1.427000,1.585000,1.174634,1.174634
2000-03-04 00:00:00,2761217.653667,1594693.863709,92158.570075,98766.241570,1.585000,1.585000,1.292199,1.292199
2000-03-11 00:00:00,2671935.229701,1562083.700083,92158.570075,98766.241570,1.585000,1.585000,1.383458,1.383458
2000-03-18 00:00:00,2612150.646920,1540425.439281,92158.570075,98766.241570,1.585000,1.585000,1.450339,1.450339
2000-03-25 00:00:00,2573204.000135,1526366.985810,92158.570075,98766.241570,1.585000,1.585000,1.497359,1.497359
2000-04-01 00:00:00,2548600.244099,1517499.540088,92158.570075,98766.241570,1.585000,1.585000,1.529657,1.529657
2000-04-08 00:00:00,2533861.800708,1512191.122825,92158.570075,98766.241570,1.585000,1.585000,1.551854,1.551854
2000-04-15 00:00:00,2526165.580276,1509419.893940,92158.570075,98766.241570,1.585000,1.585000,1.567693,1.567693
2000-04-22 00:00:00,2524008.848440,1508643.443031,92158.570075,98766.241570,1.585000,1.585000,1.580150,1.580150
2000-04-29 00:00:00,2527012.091401,1509724.927247,92158.570075,98766.241570,1.585000,1.585000,1.591754,1.591754
2000-05-06 00:00:00,2535911.252126,1512929.649102,92158.570075,98766.241570,1.585000,1.585000,1.605013,1.605013
2000-05-13 00:00:00,2552800.766470,1519013.641734,92158.570075,98766.241570,1.585000,1.585000,1.622985,1.622985
2000-05-20 00:00:00,2581764.200809,1529455.230404,92158.570075,98766.241570,1.585000,1.585000,1.650154,1.650154
2000-05-27 00:00:00,2630227.332706,1546963.290441,92158.570075,98766.241570,1.585000,1.585000,1.694079,1.694079
2000-06-03 00:00:00,2588329.602048,1531824.052506,92158.570075,98766.241570,1.744000,1.585000,1.649693,1.649693
2000-06-10 00:00:00,2566972.434846,1524121.150776,92158.570075,98766.241570,1.744000,1.585000,1.695951,1.695951
2000-06-17 00:00:00,2561944.137306,1522308.646699,92158.570075,98766.241570,1.744000,1.585000,1.732689,1.732689
2000-06-24 00:00:00,2572630.998822,1526161.283708,92158.570075,98766.241570,1.744000,1.585000,1.768040,1.768040
2000-07-01 00:00:00,2602533.747200,1536951.907290,92158.570075,98766.241570,1.744000,1.585000,1.811284,1.811284
2000-07-08 00:00:00,2661107.962342,1558153.201267,92158.570075,98766.241570,1.744000,1.585000,1.875904,1.875904
2000-07-15 00:00:00,2768732.489673,1597461.422307,92158.570075,98766.241570,1.744000,1.585000,1.986944,1.986944
2000-07-22 00:00:00,2970799.504517,1673372.174421,92158.570075,98766.241570,1.744000,1.585000,2.203619,2.203619
2000-07-29 00:00:00,3387607.562539,1846156.546611,92158.570075,98766.241570,1.744000,1.585000,2.718855,2.718855
2000-08-05 00:00:00,3684392.308267,1990894.465966,92158.570075,98766.241570,1.744000,1.585000,2.474031,2.474031
2000-08-12 00:00:00,4185596.758995,2297836.780999,92158.570075,98766.241570,1.744000,1.585000,3.080222,3.080222
2000-08-19 00:00:00,3520481.522889,1908181.082906,92158.570075,98766.241570,1.744000,1.585000,0.000000,0.000000
2000-08-26 00:00:00,2774358.682382,1599532.972353,92158.570075,98766.241570,1.744000,1.585000,0.000000,0.000000
2000-09-02 00:00:00,2072200.991948,1343082.906316,92158.570075,98766.241570,1.585000,1.585000,0.000000,0.000000
2000-09-09 00:00:00,1402702.735865,1053973.413810,92158.570075,98766.241570,1.585000,1.585000,0.000000,0.000000
2000-09-16 00:00:00,803571.453592,694496.965170,92158.570075,98766.241570,1.585000,1.585000,0.000000,0.000000
2000-09-23 00:00:00,1324335.241680,1013700.527936,92158.570075,98766.241570,1.585000,1.585000,2.973835,2.973835
2000-09-30 00:00:00,1614826.171322,1154942.995744,92158.570075,98766.241570,1.585000,1.585000,2.298845,2.298845
2000-10-07 00:00:00,1940614.662579,1292081.355506,92158.570075,98766.241570,1.585000,1.585000,2.350421,2.350421
2000-10-14 00:00:00,2140747.112080,1368950.074287,92158.570075,98766.241570,1.585000,1.585000,2.043005,2.043005
2000-10-21 00:00:00,2229717.880905,1401966.981202,92158.570075,98766.241570,1.585000,1.585000,1.786699,1.786699
2000-10-28 00:00:00,2251191.647756,1409852.973276,92158.570075,98766.241570,1.585000,1.585000,1.633545,1.633545
2000-11-04 00:00:00,2219854.653752,1398311.979218,92158.570075,98766.241570,1.585000,1.585000,1.514104,1.514104
2000-11-11 00:00:00,2137638.916481,1367728.234146,92158.570075,98766.241570,1.585000,1.585000,1.398493,1.398493
2000-11-18 00:00:00,2000431.888266,1315395.406302,92158.570075,98766.241570,1.585000,1.585000,1.271607,1.271607
2000-11-25 00:00:00,1802989.219392,1236173.084998,92158.570075,98766.241570,1.585000,1.585000,1.127551,1.127551
2000-12-02 00:00:00,1609281.992598,1152309.316433,92158.570075,98766.241570,1.427000,1.585000,0.968053,0.968053
2000-12-09 00:00:00,1358280.813525,1031692.095708,92158.570075,98766.241570,1.427000,1.585000,0.812552,0.812552
2000-12-16 00:00:00,1059931.988287,866939.155345,92158.570075,98766.241570,1.427000,1.585000,0.661289,0.661289
2000-12-23 00:00:00,721863.487796,653349.333212,92158.570075,98766.241570,1.427000,1.585000,0.514867,0.514867
2000-12-30 00:00:00,338588.340761,397430.021855,92158.570075,98766.241570,1.427000,1.585000,0.370131,0.370131
2001-01-06 00:00:00,-0.007961,0.009244,92158.570075,98766.241570,1.427000,1.585000,0.210038,0.210038
