,timeseries_sum,timeseries_min,timeseries_max,timeseries_avg,mean_absolute_percentual_difference,mean_absolute_difference,max_difference
10,55.401615402333874,0.7134994618035596,1.146147240051144,1.0259558407839604,0.014101117113737018,0.012917593655862166,0.16873152575959094
20,56.729082771382885,0.9236955943341796,1.1880983835510937,1.0505385698404242,0.009527674840915693,0.009977463804820839,0.134999870941233
25,1.81573419811645,-7.494096410248907e-09,0.14339552211834372,0.03362470737252686,346623.92920464155,0.005411152062403657,0.13767453928866943
30,1.8157340549579994,-9.999144058924431e-09,0.1433955215201558,0.03362470472144443,259785.54102576248,0.00541115213282062,0.13767454119552763
40,1.8157340483159203,-9.9996301669062e-09,0.14339552101120975,0.03362470459844297,259772.91121567445,0.005411152113619487,0.1376745406870695
50,1.8157340479942259,-9.999645247983172e-09,0.14339552098664513,0.03362470459248566,259772.51938956615,0.005411152112693058,0.13767454066251994
final_results,1.8157340479942259,-9.999645247983172e-09,0.14339552098664513,0.03362470459248566,259772.51938956615,0.005411152112693058,0.13767454066251994
