,timeseries_sum,timeseries_min,timeseries_max,timeseries_avg,mean_absolute_percentual_difference,mean_absolute_difference,max_difference,perc_below_target,perc_above_target,sum_below_target,sum_above_target
30,281.333410267672,2.87759952011462e-07,13.256517703282768,5.20987796791985,257367.7441985908,1.0464782464704592,4.19837070483536,0.0,0.0,0.0,1.509060837626874e-06
40,276.6534730878391,4.2824490791307117e-07,14.999999875399366,5.123212464589612,173678.63100168045,1.4096565895884725,6.9999999645197155,0.0,0.0,0.0,2.216151843065508e-06
50,269.45143231935486,-6.997638576897763e-08,14.99999984611508,4.989841339247313,1259698.6231159929,1.4254180490526447,6.9999999488007205,0.0,0.0,0.0,2.174267196546388e-06
final_results,269.45143231935486,-6.997638576897763e-08,14.99999984611508,4.989841339247313,1259698.6231159929,1.4254180490526447,6.9999999488007205,0.0,0.0,0.0,2.174267196546388e-06
