,timeseries_sum,timeseries_min,timeseries_max,timeseries_avg,mean_absolute_percentual_difference,mean_absolute_difference,max_difference,perc_below_target,perc_above_target,sum_below_target,sum_above_target
10,85.28699999999999,1.427,1.744,1.5793888888888896,0.007582858844226658,0.011962264150943393,0.15900000000000003,0.0,0.0,0.0,0.0
20,85.28699999999999,1.427,1.744,1.5793888888888896,0.007582858844226658,0.011962264150943393,0.15900000000000003,0.0,0.0,0.0,0.0
25,85.28699999999999,1.427,1.744,1.5793888888888896,0.007582858844226658,0.011962264150943393,0.15900000000000003,0.0,0.0,0.0,0.0
30,85.28699999999999,1.427,1.744,1.5793888888888896,0.007582858844226658,0.011962264150943393,0.15900000000000003,0.0,0.0,0.0,0.0
40,85.28699999999999,1.427,1.744,1.5793888888888896,0.007582858844226658,0.011962264150943393,0.15900000000000003,0.0,0.0,0.0,0.0
50,85.28699999999999,1.427,1.744,1.5793888888888896,0.007582858844226658,0.011962264150943393,0.15900000000000003,0.0,0.0,0.0,0.0
final_results,85.28699999999999,1.427,1.744,1.5793888888888896,0.007582858844226658,0.011962264150943393,0.15900000000000003,0.0,0.0,0.0,0.0
