,timeseries_sum,timeseries_min,timeseries_max,timeseries_avg,mean_absolute_percentual_difference,mean_absolute_difference,max_difference
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,-14370.00125101549,-266.111134278065,-266.111134278065,-266.1111342780649,0.0,0.0,0.0
40,-15641325.478374332,-289654.17552545026,-289654.17552545026,-289654.1755254503,0.0,0.0,0.0
50,85.58999576640906,1.5849999216001676,1.5849999216001676,1.584999921600168,0.0,0.0,0.0
60,85.58999448260373,1.584999897825995,1.584999897825995,1.584999897825995,0.0,0.0,0.0
70,85.58999445579997,1.5849998973296304,1.5849998973296304,1.5849998973296298,0.0,0.0,0.0
80,85.58999445568229,1.5849998973274497,1.5849998973274497,1.5849998973274497,0.0,0.0,0.0
final_results,85.58999445568229,1.5849998973274497,1.5849998973274497,1.5849998973274497,0.0,0.0,0.0
