,timeseries_sum,timeseries_min,timeseries_max,timeseries_avg,mean_absolute_percentual_difference,mean_absolute_difference,max_difference,perc_below_target,perc_above_target,sum_below_target,sum_above_target
10,134109814.54880449,0.0,4854965.247307455,2483515.0842371206,0.05611897866012482,91603.11787372557,327768.38667989185,0.0,0.0,0.0,0.0
20,25495172.202653825,-0.02205314682132318,1098156.2487415483,472132.81856766366,42327.37552534709,52257.792262488765,110173.8923957167,0.05555555555555555,0.0,0.04094197270678539,0.0
25,25495171.203622997,-0.02492798473798018,1098156.248177141,472132.8000670924,73985.61432731038,52257.791065445184,110173.89235653613,0.25925925925925924,0.0,0.3462222101047772,0.0
30,25495171.396964394,-0.024996064815013395,1098156.2603266607,472132.8036474887,73540.14718855332,52257.791520064864,110173.89293968267,0.25925925925925924,0.0,0.34988414155793307,0.0
40,25495171.335487958,-0.02499660549941404,1098156.2567353076,472132.80250903626,73529.34856394556,52257.79138449327,110173.8927685515,0.25925925925925924,0.0,0.34992454002719553,0.0
50,25495171.336913336,-0.024994069328541226,1098156.2567014156,472132.802535432,73533.67930075865,52257.79138314639,110173.8927752716,0.25925925925925924,0.0,0.3498943409446319,0.0
final_results,25495171.336913336,-0.024994069328541226,1098156.2567014156,472132.802535432,73533.67930075865,52257.79138314639,110173.8927752716,0.25925925925925924,0.0,0.3498943409446319,0.0
