,timeseries_sum,timeseries_min,timeseries_max,timeseries_avg,mean_absolute_percentual_difference,mean_absolute_difference,max_difference,perc_below_target,perc_above_target,sum_below_target,sum_above_target
30,239.93551647825444,3.2477913103741747,5.648000843607619,4.443250305152859,0.025678035521249042,0.11149033658499838,0.35105935113881603,0.5,0.5,8.68105160110269,16.41656807935712
40,243.01461604192218,3.247791285588732,5.648000739657706,4.500270667443003,0.021398500813574996,0.09246073409607783,0.4665543720319243,0.14814814814814814,0.2962962962962963,4.468264894231419,15.282880936153527
50,243.01461632710507,3.2477912969747713,5.648000753065699,4.500270672724166,0.02139850077306805,0.09246073417236823,0.46655437154235546,0.14814814814814814,0.2962962962962963,4.4682648175973805,15.282881144702316
final_results,243.01461632710507,3.2477912969747713,5.648000753065699,4.500270672724166,0.02139850077306805,0.09246073417236823,0.46655437154235546,0.14814814814814814,0.2962962962962963,4.4682648175973805,15.282881144702316
