,timeseries_sum,timeseries_min,timeseries_max,timeseries_avg,mean_absolute_percentual_difference,mean_absolute_difference,max_difference,perc_below_target,perc_above_target,sum_below_target,sum_above_target
10,145.37227594940197,1.6119844992805281,50.00000049,2.6920791842481844,0.0447521821285752,0.9382598571197374,0.5759904325603433,0.0,0.5,0.0,60.63435472160677
20,138.35496193084424,1.5850371760214739,50.00000049,2.562128924645265,0.03749006751871265,0.9270332521649062,0.4908349304947157,0.0,0.48148148148148145,0.0,55.78207413451229
25,138.3549618546357,1.585037168410723,50.00000049,2.5621289232339937,0.03749006349955411,0.9270332465759535,0.490834930519114,0.0,0.48148148148148145,0.0,55.78207631204016
30,86.51278278460484,0.9467288302320527,1.8631457418781272,1.6020885700852747,0.044635768549275597,0.0559556911834546,0.9160111652003482,0.0,0.12962962962962962,0.0,0.6609479203578983
40,86.90269294980276,0.94672883222558,1.8718179261969792,1.6093091287000507,0.04531656908154021,0.057202371616407614,0.9246263070057756,0.0,0.12962962962962962,0.0,0.6609479602432544
50,86.90269294651318,0.94672883222558,1.87181792619411,1.6093091286391323,0.04531656908507145,0.05720237161993501,0.9246263070057577,0.0,0.12962962962962962,0.0,0.6609479584627034
final_results,86.90269294651318,0.94672883222558,1.87181792619411,1.6093091286391323,0.04531656908507145,0.05720237161993501,0.9246263070057577,0.0,0.12962962962962962,0.0,0.6609479584627034
