,timeseries_sum,timeseries_min,timeseries_max,timeseries_avg,mean_absolute_percentual_difference,mean_absolute_difference,max_difference,perc_below_target,perc_above_target,sum_below_target,sum_above_target
10,97135.74410704219,1.5509007229233285,97044.82065539615,1798.8100760563373,0.04631345062721843,1831.031124961106,0.6015088999171283,0.0,0.09259259259259259,0.0,97045.38306798668
20,87.84811245085669,0.9860333446238784,1.8626273858535585,1.6268168972380865,0.024136675242794458,0.02803621276812023,0.8765940412296801,0.0,0.0,0.0,0.0
30,88.30487090524197,0.9829978524563243,1.8939053312932093,1.6352753871341104,0.025188309381516862,0.02945127077897323,0.9109074788368849,0.0,0.0,0.0,0.0
40,86.39301178321676,1.5850001982817103,1.6229746585753924,1.5998705885780882,0.0008977127445628624,0.001432998501644624,0.03797446029368201,0.0,0.0,0.0,0.0
50,86.39301189425866,1.5850001982817106,1.622974664718446,1.59987059063442,0.0008977128873813419,0.0014329987334585337,0.03797446643673541,0.0,0.0,0.0,0.0
final_results,86.39301189425866,1.5850001982817106,1.622974664718446,1.59987059063442,0.0008977128873813419,0.0014329987334585337,0.03797446643673541,0.0,0.0,0.0,0.0
