,timeseries_sum,timeseries_min,timeseries_max,timeseries_avg,mean_absolute_percentual_difference,mean_absolute_difference,max_difference,perc_below_target,perc_above_target,sum_below_target,sum_above_target
10,113803.62593143375,1.5780493339318733,113711.7385418053,2107.474554285811,0.03332519967855543,2145.4924966508943,0.15655204943776946,0.018518518518518517,0.9814814814814815,0.006950666068126665,113718.04288209986
20,86.39300008125049,1.585000001352125,1.614781451889832,1.599870371875009,0.0007806697886789532,0.0012473681076225873,0.024165826021744996,0.0,0.6296296296296297,0.0,0.8030000812504625
25,86.3930000233266,1.5849999985219982,1.614781453290988,1.5998703708023432,0.0007806698890584547,0.0012473682706740127,0.024165827361143366,0.0,0.6296296296296297,1.5188139634858544e-09,0.8030000248453302
30,86.39300008878699,1.584999999613155,1.6147814537141814,1.5998703720145737,0.0007806708681824128,0.001247369822517987,0.02416582781060561,0.0,0.6296296296296297,3.868450004773649e-10,0.8030000891737983
40,86.39300003015397,1.5850000000944025,1.614781453575628,1.5998703709287772,0.0007806698685011498,0.0012473682379353164,0.02416582768179687,0.0,0.6296296296296297,0.0,0.8030000301539537
50,86.39300001699893,1.5849999990675796,1.6147814535264282,1.5998703706851656,0.0007806698858359956,0.001247368265570703,0.02416582768690745,0.0,0.6296296296296297,4.680114074062658e-09,0.8030000216790274
final_results,86.39300001699893,1.5849999990675796,1.6147814535264282,1.5998703706851656,0.0007806698858359956,0.001247368265570703,0.02416582768690745,0.0,0.6296296296296297,4.680114074062658e-09,0.8030000216790274
