,timeseries_sum,timeseries_min,timeseries_max,timeseries_avg,mean_absolute_percentual_difference,mean_absolute_difference,max_difference,perc_below_target,perc_above_target,sum_below_target,sum_above_target
20,230.94168911728846,2.775224127894659,5.251653966571385,4.276697946616452,0.02891105593688837,0.11433917065229326,0.448014402895919,0.07407407407407407,0.2037037037037037,1.056245942508693,3.1902188051650455
40,233.60051605522062,2.775224143967373,5.251653964362359,4.325935482504085,0.02463780574717252,0.09533697433478637,0.4658725507459449,0.07407407407407407,0.2037037037037037,1.0562458405668766,3.190215811521469
50,233.60051628646926,2.775224154409289,5.25165397410311,4.3259354867864666,0.02463780567740187,0.0953369743083267,0.4658725499596339,0.07407407407407407,0.2037037037037037,1.0562457994144538,3.1902159240914294
final_results,233.60051628646926,2.775224154409289,5.25165397410311,4.3259354867864666,0.02463780567740187,0.0953369743083267,0.4658725499596339,0.07407407407407407,0.2037037037037037,1.0562457994144538,3.1902159240914294
