,timeseries_sum,timeseries_min,timeseries_max,timeseries_avg,mean_absolute_percentual_difference,mean_absolute_difference,max_difference,perc_below_target,perc_above_target,sum_below_target,sum_above_target
10,79867064.74469462,0.0,2107658.9505388527,1479019.717494345,0.016975875243539062,45788.305131049165,1128466.6088205138,0.0,0.0,0.0,0.0
20,79890175.75404646,0.0,2145202.231100144,1479447.6991490081,0.013581721103471714,40808.11863929201,1128400.7875517583,0.0,0.0,0.0,0.0
25,79890175.896087,0.0,2145202.231104491,1479447.701779389,0.013581790824731035,40808.217286683306,1128400.6409597138,0.0,0.0,0.0,0.0
30,71384825.1710625,-0.012726643846753002,3000000.0277266437,1321941.2068715275,222354.9956406146,129159.52034880368,153361.65593920893,0.018518518518518517,0.018518518518518517,0.012726643846753002,0.027726643718779087
40,72624784.7090683,-0.014999432562868582,3000000.0299994084,1344903.4205383023,209468.1621360961,131833.2211667031,163378.83516163967,0.018518518518518517,0.018518518518518517,0.014999432562868582,0.029999408405274153
50,72624784.69304416,-0.014999425838645662,3000000.02999943,1344903.4202415587,209468.25634407284,131833.2211793632,163378.8353985642,0.018518518518518517,0.018518518518518517,0.014999425838645662,0.02999942982569337
final_results,72624784.69304416,-0.014999425838645662,3000000.02999943,1344903.4202415587,209468.25634407284,131833.2211793632,163378.8353985642,0.018518518518518517,0.018518518518518517,0.014999425838645662,0.02999942982569337
