,timeseries_sum,timeseries_min,timeseries_max,timeseries_avg,mean_absolute_percentual_difference,mean_absolute_difference,max_difference,perc_below_target,perc_above_target,sum_below_target,sum_above_target
30,239.93551647825444,3.2477913103741747,5.648000843607619,4.443250305152859,0.025678035521249042,0.11149033658499838,0.35105935113881603,0.018518518518518517,0.24074074074074073,0.14222658345105454,7.874464118816265
40,243.01461604192218,3.247791285588732,5.648000739657706,4.500270667443003,0.021398500813574996,0.09246073409607783,0.4665543720319243,0.018518518518518517,0.24074074074074073,0.14222659535921123,7.8744616512297405
50,243.01461632710507,3.2477912969747713,5.648000753065699,4.500270672724166,0.02139850077306805,0.09246073417236823,0.46655437154235546,0.018518518518518517,0.24074074074074073,0.14222658441775815,7.874461826527514
final_results,243.01461632710507,3.2477912969747713,5.648000753065699,4.500270672724166,0.02139850077306805,0.09246073417236823,0.46655437154235546,0.018518518518518517,0.24074074074074073,0.14222658441775815,7.874461826527514
