time,GroundwaterBalanceIn,GroundwaterBalanceOut,GroundwaterLevel,GroundwaterRechargeCMS,GroundwaterVolume,RiverAquiferFlow,RiverAquiferHeadDifference,RiverIntakeDischarge
2000-01-01 00:00:00,13.730141,8.530000,4.200000,6.128100,52500000.000000,1.480000,3.700000,7.202041
2000-01-08 00:00:00,10.546876,8.479998,4.300004,6.128100,53750047.385394,1.520002,3.800004,4.018776
2000-01-15 00:00:00,8.480000,8.479998,4.300004,6.128100,53750048.168784,1.520002,3.800004,1.951900
2000-01-22 00:00:00,8.479999,8.479998,4.300004,6.128100,53750048.759178,1.520002,3.800004,1.951899
2000-01-29 00:00:00,8.480004,8.479998,4.300004,6.128100,53750052.029710,1.520002,3.800004,1.951904
2000-02-05 00:00:00,8.479992,8.479998,4.300004,1.920000,53750047.988746,1.520002,3.800004,6.159992
2000-02-12 00:00:00,8.479999,8.479998,4.300004,0.192000,53750048.515743,1.520002,3.800004,7.887999
2000-02-19 00:00:00,8.479997,8.479998,4.300004,0.019200,53750047.513919,1.520002,3.800004,8.060797
2000-02-26 00:00:00,8.479991,8.479999,4.300003,0.001920,53750042.703312,1.520001,3.800003,8.078071
2000-03-04 00:00:00,8.480005,8.479998,4.300004,4.910000,53750046.920393,1.520002,3.800004,3.170005
2000-03-11 00:00:00,8.480000,8.479998,4.300004,4.910000,53750047.953425,1.520002,3.800004,3.170000
2000-03-18 00:00:00,8.480000,8.479998,4.300004,4.910000,53750048.598678,1.520002,3.800004,3.170000
2000-03-25 00:00:00,8.479997,8.479998,4.300004,4.910000,53750047.677548,1.520002,3.800004,3.169997
2000-04-01 00:00:00,8.480000,8.479998,4.300004,3.045000,53750048.799974,1.520002,3.800004,5.035000
2000-04-08 00:00:00,8.479998,8.479998,4.300004,3.045000,53750048.436012,1.520002,3.800004,5.034998
2000-04-15 00:00:00,8.479998,8.479998,4.300004,3.045000,53750048.197021,1.520002,3.800004,5.034998
2000-04-22 00:00:00,8.479998,8.479998,4.300004,3.045000,53750047.828851,1.520002,3.800004,5.034998
2000-04-29 00:00:00,8.479998,8.479998,4.300004,3.045000,53750047.773013,1.520002,3.800004,5.034998
2000-05-06 00:00:00,8.479998,8.479998,4.300004,1.780000,53750047.740121,1.520002,3.800004,6.299998
2000-05-13 00:00:00,8.479998,8.479998,4.300004,1.780000,53750047.454229,1.520002,3.800004,6.299998
2000-05-20 00:00:00,8.480022,8.479998,4.300005,1.780000,53750061.685649,1.520002,3.800005,6.300022
2000-05-27 00:00:00,14.551421,8.360175,4.599562,1.780000,57494527.454996,1.639825,4.099562,12.371421
2000-06-03 00:00:00,10.129785,8.325251,4.686873,1.730000,58585909.418700,1.674749,4.186873,7.999785
2000-06-10 00:00:00,10.129891,8.289635,4.775912,1.730000,59698895.877813,1.710365,4.275912,7.999891
2000-06-17 00:00:00,10.129926,8.253316,4.866710,1.730000,60833869.677109,1.746684,4.366710,7.999926
2000-06-24 00:00:00,10.130000,8.216279,4.959303,1.730000,61991288.183455,1.783721,4.459303,8.000000
2000-07-01 00:00:00,9.205000,8.196766,5.008085,0.805000,62601068.125432,1.803234,4.508085,8.000000
2000-07-08 00:00:00,9.205000,8.176868,5.057831,0.805000,63222882.411961,1.823132,4.557831,8.000000
2000-07-15 00:00:00,9.205000,8.156577,5.108557,0.805000,63856968.548180,1.843423,4.608557,8.000000
2000-07-22 00:00:00,9.205000,9.155621,5.110947,0.805000,63886832.663257,1.844379,4.610947,8.000000
2000-07-29 00:00:00,9.205000,9.154647,5.113383,0.805000,63917286.164405,1.845353,4.613383,8.000000
2000-08-05 00:00:00,6.730000,9.202499,4.993754,2.330000,62421918.908370,1.797501,4.493754,4.000000
2000-08-12 00:00:00,6.730000,9.251295,4.871763,2.330000,60897039.753298,1.748705,4.371763,4.000000
2000-08-19 00:00:00,2.730000,9.379996,4.550010,2.330000,56875122.067529,1.620004,4.050010,-0.000000
2000-08-26 00:00:00,2.730000,9.511237,4.221906,2.330000,52773829.608012,1.488763,3.721906,-0.000000
2000-09-02 00:00:00,1.090000,9.677435,3.806412,0.690000,47580148.726177,1.322565,3.306412,-0.000000
2000-09-09 00:00:00,1.090000,9.846913,3.382717,0.690000,42283967.674743,1.153087,2.882717,-0.000000
2000-09-16 00:00:00,1.090000,9.000000,3.000000,0.690000,37499999.619144,1.000000,2.500000,-0.000000
2000-09-23 00:00:00,5.090000,9.077166,2.807085,0.690000,35088561.501410,0.922834,2.307085,4.000000
2000-09-30 00:00:00,5.090000,9.155855,2.610363,0.690000,32629532.314703,0.844145,2.110363,4.000000
2000-10-07 00:00:00,11.130000,9.116894,2.707765,2.730000,33847058.663587,0.883106,2.207765,8.000000
2000-10-14 00:00:00,18.130000,8.939015,3.152461,2.730000,39405766.074099,1.060985,2.652461,15.000000
2000-10-21 00:00:00,18.129921,8.757628,3.605930,2.730000,45074128.673901,1.242372,3.105930,14.999921
2000-10-28 00:00:00,18.129839,8.572662,4.068345,2.730000,50854309.514083,1.427338,3.568345,14.999839
2000-11-04 00:00:00,13.267905,8.479999,4.300003,5.657000,53750035.237979,1.520001,3.800003,7.210905
2000-11-11 00:00:00,8.480014,8.479999,4.300004,5.657000,53750044.600752,1.520001,3.800004,2.423014
2000-11-18 00:00:00,8.480000,8.479999,4.300004,5.657000,53750045.556749,1.520001,3.800004,2.423000
