time,ASRBalanceCheck,ASRVolume,ProcessBasinVolume,QASRExtracted,QASRInjection,QDistribution,QTreatment,QTreatmentDistributed,QTreatmentInjected,QTreatmentSurplus,Qadd,Qint
2000-01-01 00:00:00,113710.311542,0.000000,0.000000,0.713499,113711.025041,1.427000,113711.738542,0.713501,113711.025041,113710.311542,0.000000,50.000000
2000-01-08 00:00:00,0.541945,327768.386680,1128466.608821,0.882231,1.424176,1.427000,1.968945,0.544769,1.424176,0.541945,0.000000,3.834796
2000-01-15 00:00:00,0.315823,518778.342945,1352032.580507,0.906503,1.222327,1.427000,1.742823,0.520497,1.222327,0.315823,0.000000,2.112476
2000-01-22 00:00:00,0.246871,668085.772879,1432012.669189,0.915077,1.161948,1.427000,1.673871,0.511923,1.161948,0.246871,0.000000,1.806113
2000-01-29 00:00:00,0.210847,795606.097371,1466025.872953,0.919804,1.130651,1.427000,1.637847,0.507196,1.130651,0.210847,0.000000,1.694086
2000-02-05 00:00:00,0.188092,909363.912626,1483044.081316,0.922882,1.110974,1.427000,1.615092,0.504118,1.110974,0.188092,0.000000,1.643230
2000-02-12 00:00:00,0.172198,1013509.067354,1495010.377121,0.925076,1.097273,1.427000,1.599198,0.501924,1.097273,0.172198,0.000000,1.618983
2000-02-19 00:00:00,0.160349,1110487.897354,1509910.172286,0.926735,1.087083,1.427000,1.587349,0.500265,1.087083,0.160349,0.000000,1.611984
2000-02-26 00:00:00,0.151049,1201842.534516,1538877.612668,0.928051,1.079101,1.427000,1.578049,0.498949,1.079101,0.151049,0.000000,1.625945
2000-03-04 00:00:00,0.140543,1286842.961821,1513248.553768,1.034730,1.175273,1.585000,1.725543,0.550270,1.175273,0.140543,0.000000,1.683167
2000-03-11 00:00:00,0.134700,1368309.651546,1503502.335683,1.035586,1.170286,1.585000,1.719700,0.549414,1.170286,0.134700,0.000000,1.703585
