time,ASRVolume,ProcessBasinVolume,QASRInjection,QASRRecovery,QDistribution,QTreatment,Qadd,Qint
2000-01-01 00:00:00,5000000.021192,3000000.011423,98786.498749,100367.638736,1.427000,1.585000,-0.000000,-0.000000
2000-01-08 00:00:00,4630611.190401,2651371.767637,98786.498749,100367.638736,1.427000,1.585000,0.239802,0.239802
2000-01-15 00:00:00,4280092.520912,2366297.643644,98786.498749,100367.638736,1.427000,1.585000,0.376086,0.376086
2000-01-22 00:00:00,3948442.642654,2141399.772598,98786.498749,100367.638736,1.427000,1.585000,0.506782,0.506782
2000-01-29 00:00:00,3644377.917553,1970011.696487,98786.498749,100367.638736,1.427000,1.585000,0.640868,0.640868
2000-02-05 00:00:00,3379709.220798,1842596.631698,98786.498749,100367.638736,1.427000,1.585000,0.778713,0.778713
2000-02-12 00:00:00,3163764.234140,1749945.386094,98786.498749,100367.638736,1.427000,1.585000,0.916755,0.916755
2000-02-19 00:00:00,3000702.686479,1684925.851386,98786.498749,100367.638736,1.427000,1.585000,1.049882,1.049882
2000-02-26 00:00:00,2890286.687857,1642710.846527,98786.498749,100367.638736,1.427000,1.585000,1.174634,1.174634
2000-03-04 00:00:00,2761216.650903,1594694.867586,98786.498749,100367.638736,1.585000,1.585000,1.292199,1.292199
2000-03-11 00:00:00,2671934.790173,1562084.140724,98786.498749,100367.638736,1.585000,1.585000,1.383458,1.383458
2000-03-18 00:00:00,2612148.296336,1540427.790979,98786.498749,100367.638736,1.585000,1.585000,1.450339,1.450339
2000-03-25 00:00:00,2573205.948063,1526365.038995,98786.498749,100367.638736,1.585000,1.585000,1.497359,1.497359
2000-04-01 00:00:00,2548598.920055,1517500.865246,98786.498749,100367.638736,1.585000,1.585000,1.529657,1.529657
2000-04-08 00:00:00,2533860.891050,1512192.033596,98786.498749,100367.638736,1.585000,1.585000,1.551854,1.551854
2000-04-15 00:00:00,2526163.053195,1509422.422134,98786.498749,100367.638736,1.585000,1.585000,1.567693,1.567693
2000-04-22 00:00:00,2524011.914656,1508640.377928,98786.498749,100367.638736,1.585000,1.585000,1.580150,1.580150
2000-04-29 00:00:00,2527011.853846,1509725.165916,98786.498749,100367.638736,1.585000,1.585000,1.591754,1.591754
2000-05-06 00:00:00,2535913.047504,1512927.854837,98786.498749,100367.638736,1.585000,1.585000,1.605013,1.605013
2000-05-13 00:00:00,2552797.595854,1519016.813463,98786.498749,100367.638736,1.585000,1.585000,1.622985,1.622985
2000-05-20 00:00:00,2581759.926340,1529459.505987,98786.498749,100367.638736,1.585000,1.585000,1.650154,1.650154
